stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,64.0,44.0,20.0,39.0,23.0,13.0,64.0,pm10,sedang
0,59.0,44.0,15.0,64.0,29.0,15.0,64.0,co,sedang
0,55.0,44.0,22.0,31.0,29.0,14.0,55.0,pm10,sedang
0,57.0,44.0,20.0,34.0,31.0,20.0,57.0,pm10,sedang
0,55.0,44.0,17.0,71.0,27.0,38.0,71.0,co,sedang
0,75.0,44.0,21.0,71.0,30.0,29.0,75.0,pm10,sedang
0,74.0,44.0,21.0,50.0,74.0,29.0,74.0,pm10,sedang
0,59.0,44.0,14.0,37.0,71.0,26.0,71.0,o3,sedang
0,49.0,44.0,15.0,23.0,28.0,9.0,49.0,pm10,baik
0,51.0,44.0,18.0,31.0,28.0,13.0,51.0,pm10,sedang
0,58.0,44.0,17.0,36.0,41.0,21.0,58.0,pm10,sedang
0,64.0,44.0,17.0,32.0,41.0,23.0,64.0,pm10,sedang
0,0.0,44.0,0.0,30.0,0.0,0.0,44.0,pm25,baik
0,56.0,44.0,19.0,30.0,44.0,22.0,56.0,pm10,sedang
0,69.0,44.0,18.0,46.0,55.0,25.0,69.0,pm10,sedang
0,60.0,44.0,15.0,40.0,36.0,19.0,60.0,pm10,sedang
0,65.0,44.0,17.0,34.0,33.0,14.0,65.0,pm10,sedang
0,50.0,44.0,17.0,29.0,22.0,12.0,50.0,pm10,baik
0,55.0,44.0,21.0,25.0,27.0,12.0,55.0,pm10,sedang
0,62.0,44.0,22.0,37.0,66.0,19.0,66.0,o3,sedang
0,64.0,44.0,15.0,34.0,76.0,20.0,76.0,o3,sedang
0,56.0,44.0,13.0,46.0,51.0,23.0,56.0,pm10,sedang
0,54.0,44.0,21.0,30.0,36.0,14.0,54.0,pm10,sedang
0,55.0,44.0,20.0,34.0,35.0,19.0,55.0,pm10,sedang
0,63.0,44.0,19.0,37.0,37.0,20.0,63.0,pm10,sedang
0,74.0,44.0,18.0,71.0,43.0,22.0,74.0,pm10,sedang
0,51.0,44.0,16.0,34.0,39.0,20.0,51.0,pm10,sedang
0,55.0,44.0,16.0,44.0,34.0,20.0,55.0,pm10,sedang
0,58.0,44.0,17.0,43.0,33.0,18.0,58.0,pm10,sedang
0,61.0,44.0,16.0,43.0,64.0,29.0,64.0,o3,sedang
0,66.0,44.0,15.0,36.0,33.0,21.0,66.0,pm10,sedang
0,61.0,44.0,18.0,37.0,30.0,21.0,61.0,pm10,sedang
0,63.0,44.0,17.0,31.0,31.0,15.0,63.0,pm10,sedang
0,63.0,44.0,17.0,39.0,31.0,21.0,63.0,pm10,sedang
0,81.0,44.0,20.0,41.0,43.0,23.0,81.0,pm10,sedang
0,61.0,44.0,16.0,33.0,45.0,23.0,61.0,pm10,sedang
0,53.0,44.0,14.0,35.0,37.0,21.0,53.0,pm10,sedang
